measurement_id	target	query_argument	nsid_raw	valid_count	invalid_count	total_count
173811471	194.0.12.1	cz.	nomi83.percipientnetworks.com	0	1	1
173811472	194.0.13.1	cz.	dns-b-dns01.nic.cz	1	0	1
173811472	194.0.13.1	cz.	dns-b-dns02.nic.cz	1	0	1
173811472	194.0.13.1	cz.	dns-b-dns04.nic.cz	1	0	1
173811472	194.0.13.1	cz.	dns-cecolo-dns01.nic.cz	2	0	2
173811472	194.0.13.1	cz.	dns-cecolo-dns03.nic.cz	1	0	1
173811472	194.0.13.1	cz.	dns-cecolo-dns04.nic.cz	1	0	1
173811472	194.0.13.1	cz.	dns-cecolo-dns07.nic.cz	1	0	1
173811472	194.0.13.1	cz.	dns-cosmonova-01.nic.cz	10	0	10
173811472	194.0.13.1	cz.	dns-cra-dns02.nic.cz	1	0	1
173811472	194.0.13.1	cz.	dns-cra-dns04.nic.cz	1	0	1
173811472	194.0.13.1	cz.	dns-cra-dns07.nic.cz	2	0	2
173811472	194.0.13.1	cz.	dns-decix-dns01.nic.cz	7	0	7
173811472	194.0.13.1	cz.	dns-decix-dns02.nic.cz	9	0	9
173811472	194.0.13.1	cz.	dns-decix-dns03.nic.cz	10	0	10
173811472	194.0.13.1	cz.	dns-icann-02.nic.cz	1	0	1
173811472	194.0.13.1	cz.	dns-jinx-01.nic.cz	7	0	7
173811472	194.0.13.1	cz.	dns-netnod-01.nic.cz	14	0	14
173811472	194.0.13.1	cz.	dns-sgix-01.nic.cz	8	0	8
173811472	194.0.13.1	cz.	nomi83.percipientnetworks.com	0	1	1
173811473	194.0.14.1	cz.	dns-ixbr-01.nic.cz	2	0	2
173811473	194.0.14.1	cz.	dns-jpnap-02.nic.cz	1	0	1
173811473	194.0.14.1	cz.	dns-linx-dns01.nic.cz	18	0	18
173811473	194.0.14.1	cz.	dns-linx-dns02.nic.cz	13	0	13
173811473	194.0.14.1	cz.	dns-linx-dns03.nic.cz	13	0	13
173811473	194.0.14.1	cz.	dns-nixsk-01.nic.cz	5	0	5
173811473	194.0.14.1	cz.	dns-tmobile-01.nic.cz	1	0	1
173811473	194.0.14.1	cz.	dns-vix-dns01.nic.cz	7	0	7
173811473	194.0.14.1	cz.	dns-vix-dns02.nic.cz	5	0	5
173811473	194.0.14.1	cz.	dns-vix-dns03.nic.cz	12	0	12
173811473	194.0.14.1	cz.	dns-vodafone-01.nic.cz	1	0	1
173811473	194.0.14.1	cz.	nomi83.percipientnetworks.com	0	1	1
173811474	193.29.206.1	cz.	dns-b-dns01.nic.cz	1	0	1
173811474	193.29.206.1	cz.	dns-cecolo-dns01.nic.cz	1	0	1
173811474	193.29.206.1	cz.	dns-cecolo-dns02.nic.cz	1	0	1
173811474	193.29.206.1	cz.	dns-cecolo-dns03.nic.cz	2	0	2
173811474	193.29.206.1	cz.	dns-cecolo-dns04.nic.cz	1	0	1
173811474	193.29.206.1	cz.	dns-cecolo-dns05.nic.cz	1	0	1
173811474	193.29.206.1	cz.	dns-cecolo-dns06.nic.cz	2	0	2
173811474	193.29.206.1	cz.	dns-cecolo-dns07.nic.cz	2	0	2
173811474	193.29.206.1	cz.	dns-cecolo-dns08.nic.cz	1	0	1
173811474	193.29.206.1	cz.	dns-cecolo-dns09.nic.cz	1	0	1
173811474	193.29.206.1	cz.	dns-cecolo-dns10.nic.cz	1	0	1
173811474	193.29.206.1	cz.	dns-cra-dns01.nic.cz	2	0	2
173811474	193.29.206.1	cz.	dns-cra-dns02.nic.cz	1	0	1
173811474	193.29.206.1	cz.	dns-cra-dns04.nic.cz	1	0	1
173811474	193.29.206.1	cz.	dns-cra-dns05.nic.cz	2	0	2
173811474	193.29.206.1	cz.	dns-cra-dns06.nic.cz	2	0	2
173811474	193.29.206.1	cz.	dns-cra-dns07.nic.cz	2	0	2
173811474	193.29.206.1	cz.	dns-cra-dns08.nic.cz	4	0	4
173811474	193.29.206.1	cz.	dns-cra-dns10.nic.cz	3	0	3
173811474	193.29.206.1	cz.	dns-decix2-01.nic.cz	23	0	23
173811474	193.29.206.1	cz.	dns-icann-01.nic.cz	3	0	3
173811474	193.29.206.1	cz.	dns-linx-dns02.nic.cz	4	0	4
173811474	193.29.206.1	cz.	dns-linx-dns03.nic.cz	1	0	1
173811474	193.29.206.1	cz.	dns-sgix-02.nic.cz	15	0	15
173811474	193.29.206.1	cz.	dns-sixusa-dns01.nic.cz	1	0	1
173811474	193.29.206.1	cz.	nomi83.percipientnetworks.com	0	1	1
173811475	194.146.106.50	at.	nomi83.percipientnetworks.com	0	1	1
173811475	194.146.106.50	at.	s2.amx	4	0	4
173811475	194.146.106.50	at.	s2.bah	2	0	2
173811475	194.146.106.50	at.	s2.bnx	6	0	6
173811475	194.146.106.50	at.	s2.bts	2	0	2
173811475	194.146.106.50	at.	s2.cdg	1	0	1
173811475	194.146.106.50	at.	s2.cmx	1	0	1
173811475	194.146.106.50	at.	s2.del	1	0	1
173811475	194.146.106.50	at.	s2.dex	8	0	8
173811475	194.146.106.50	at.	s2.fix	1	0	1
173811475	194.146.106.50	at.	s2.hel	1	0	1
173811475	194.146.106.50	at.	s2.jak	2	0	2
173811475	194.146.106.50	at.	s2.lju	3	0	3
173811475	194.146.106.50	at.	s2.lnx	1	0	1
173811475	194.146.106.50	at.	s2.lon	1	0	1
173811475	194.146.106.50	at.	s2.lux	1	0	1
