measurement_id	probe_id	target	dst_addr	query_argument	query_type	description	atlas_type	protocol	from_addr	src_addr	timestamp	stored_timestamp	rtt_ms	rcode	answer_type	answer_count	additional_count	response_size	nsid_raw	nsid_hex	has_abuf	is_valid_dns_observation	invalid_reason
173811458	60610	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	79.116.175.126	192.168.1.128	1779560793	1779560795	38.056	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	60625	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	62.45.119.40	192.168.1.95	1779560787	1779560799	16.171	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	60659	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	45.11.248.22	10.10.10.106	1779560793	1779560795	28.503	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	60788	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	85.120.220.125	85.120.220.125	1779560787	1779560794	33.034	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	60963	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	141.8.24.212	192.168.69.174	1779560787	1779560827	52.494	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	62628	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	77.160.120.252	192.168.179.46	1779560787	1779560823	14.681	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	6351	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	212.3.202.246	212.3.202.246	1779560784	1779560786	38.491	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	64165	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	188.117.250.157	10.0.0.210	1779560793	1779560795	46.164	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	64174	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	195.69.98.21	195.69.98.21	1779560794	1779560796	34.153	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	64834	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	89.164.134.121	192.168.5.61	1779560787	1779560821	34.676	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	64874	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	185.83.116.10	192.168.8.245	1779560787	1779560799	40.343	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	65342	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	79.119.111.203	192.168.101.52	1779560793	1779560795	36.091	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	6749	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	212.7.0.250	212.7.0.250	1779560784	1779560786	37.358	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	6767	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	194.116.77.35	194.116.77.35	1779560784	1779560785	26.223	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	6841	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	195.130.66.103	195.130.66.103	1779560785	1779560787	34.774	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	6919	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	188.93.174.26	188.93.174.26	1779560784	1779560786	16.55	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	7370	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	144.208.192.250	144.208.192.250	1779560784	1779560786	28.434	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	764	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	193.6.223.20	193.6.223.20	1779560792	1779560800	1824.151	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
