measurement_id	cctld	nameserver	target	query_argument	nsid_raw	count	classification_status	city	country_code	region_class	classification_confidence	classification_method	matched_rule_priority	matched_rule_pattern	classification_note
173811464	.de	a.nic.de	194.0.0.53	de.	ns-2.de.us4.bind	1	classified		US	Other non EU	high	regex	60	^ns-[0-9]+\.de\.us[0-9]+\.	DENIC country code in NSID
173811464	.de	a.nic.de	194.0.0.53	de.	ns.de.anx-uk2.nsd	1	classified		GB	UK	high	regex	60	^ns\.de\.anx-uk[0-9]+\.	DENIC country code in NSID
173811464	.de	a.nic.de	194.0.0.53	de.	ns.de.cl1.bind	1	classified		CL	Other non EU	high	regex	60	^ns\.de\.cl[0-9]+\.	DENIC country code in NSID
173811464	.de	a.nic.de	194.0.0.53	de.	ns.de.fr3.bind	7	classified		FR	EU	high	regex	60	^ns\.de\.fr[0-9]+\.	DENIC country code in NSID
173811465	.de	l.de.net	77.67.63.105	de.	ns-1.de.fr1.knot	28	classified		FR	EU	high	regex	60	^ns-[0-9]+\.de\.fr[0-9]+\.	DENIC country code in NSID
173811465	.de	l.de.net	77.67.63.105	de.	ns-1.de.uk1.knot	9	classified		GB	UK	high	regex	60	^ns-[0-9]+\.de\.uk[0-9]+\.	DENIC country code in NSID
173811465	.de	l.de.net	77.67.63.105	de.	ns-2.de.fr1.knot	26	classified		FR	EU	high	regex	60	^ns-[0-9]+\.de\.fr[0-9]+\.	DENIC country code in NSID
173811465	.de	l.de.net	77.67.63.105	de.	ns-2.de.uk1.knot	15	classified		GB	UK	high	regex	60	^ns-[0-9]+\.de\.uk[0-9]+\.	DENIC country code in NSID
173811466	.de	n.de.net	194.146.107.6	de.	s3.amx	4	classified	Amsterdam	NL	EU	medium	regex	90	^s[23]\.amx$	Shared operator short location label
173811466	.de	n.de.net	194.146.107.6	de.	s3.bah	1	classified	Manama	BH	Other non EU	high	regex	90	^s[23]\.bah$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.bnx	6	classified	Brussels	BE	EU	medium	regex	90	^s[23]\.bnx$	BNIX or Brussels style label
173811466	.de	n.de.net	194.146.107.6	de.	s3.bts	2	classified	Bratislava	SK	EU	high	regex	90	^s[23]\.bts$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.cdg	1	classified	Paris	FR	EU	high	regex	90	^s[23]\.cdg$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.cmx	1	unknown			Unknown	unknown				No defensible NSID mapping rule matched
